vial,NPOC_mg_L,TN_mg_L
2,11.396410011479793,4.1278753836060185
3,51.76927628047437,7.847140131470114
4,10.501813284117148,3.420906330158334
5,662.5648863884836,5.127601423744924
6,9.600078816908526,3.0396155655996604
7,41.198362850629074,4.66380412475303
8,11.007403189873962,3.0185337120778275
9,44.39128786139936,5.246822046056319
10,13.374753572123511,3.5292234396325806
11,846.0034246376557,6.383052733085047
12,10.679067156958949,3.829458112202137
13,74.56228790728461,6.83594570686553
14,11.182277816100436,4.645471235590338
15,41.412493440024996,6.787239720921241
16,11.938607424062013,3.8830544396162083
17,54.52918165491069,7.6036102017486655
18,14.270251619706483,3.68459572076858
19,62.14271372232121,7.898753937470778
20,14.165565553779594,4.456621945736276
21,62.90406692906226,8.185174213023766
22,11.987652795388348,3.9250534135166566
23,48.34318685013964,7.531641655353371
24,9.38237775160618,4.056996738144682
25,38.98330086476683,7.063482626276914
26,10.71118698626585,4.181670458110006
27,42.51407636102846,6.210037439730705
28,9.820159128826196,3.351845085862674
29,46.525456069045376,6.518266365706508
30,8.011931701178298,3.0868679959072174
32,39.52656560613493,5.543956664207497
33,7.399180344731205,3.2459393926776663
34,42.714815212231805,6.228080435298815
35,7.792869134001465,4.0109669067754865
36,38.0535749066616,5.727177717372343
37,11.45235784903364,4.637838800268485
38,46.35368368362807,7.230624665720976
39,7.794080484122296,3.172428781714139
40,40.47141161402078,5.493718633501007
41,7.228379977693954,2.507878082601644
42,40.10558662122396,4.8258483429323755
43,8.000010004663663,3.4949150298104197
44,32.340890582059465,5.655514644158672
45,9.334917837820056,3.0501573634783217
46,28.699599428591682,5.341526952243111
47,7.165389771410711,3.271058596423998
48,32.50078759877861,4.778565490502738
49,7.6220687669642135,3.56879504082904
50,39.52656560613493,5.053397070250006
51,12.821341131966394,4.475659717125373
52,60.4851882067003,8.72298969553141
53,12.329536671451454,4.523681364124223
54,56.075906836566325,7.945777808719243
55,17.66185991082775,6.734893509778994
56,55.009926725105366,9.792764231751962
57,10.438457797897616,2.5174824840340646
58,52.95064696432851,5.698364729173032
59,11.376042791421252,2.9182815438100835
60,51.109408589986856,6.4992180422000185
62,10.259740864086941,3.6665860801988073
63,43.75822342841851,6.248469676904773
64,9.64419220595738,3.6016699606795552
65,43.69799407014671,6.795244777060571
66,9.434592467181362,4.805400291193689
67,37.74733347289369,7.204027789524406
68,8.904570139242011,3.671408420505952
69,37.29199952435895,6.858305677349911
70,18.657036075066596,9.503895917723826
71,73.76930806808689,14.216399901698901
72,17.536770011211274,5.4909969804881245
73,76.70850075175032,10.279174044810407
74,18.204111300862728,6.652801331701123
75,74.61251908389195,11.872018196824651
76,9.682739284352968,3.0233600730766166
77,42.845146357018145,4.9917030287854764
78,6.717023440292327,2.817112287632593
79,43.8521812273225,5.3492954280732565
80,6.819414117280611,2.602332669337467
81,40.82625826774768,5.242462844053671
82,9.569507241565924,3.1227744732546716
83,36.672841721324936,5.390841432969762
84,9.892339023128983,3.9314438478373557
85,42.743961035121536,6.233631818013166
86,10.298287942482531,4.480819693597428
87,44.37256288279078,6.831597531345013
88,1.9096004662624304,1.2383893558498187
89,1.7784199400974412,1.214574413717613
90,21.10592504764584,1.7035226259366205
91,21.23240764863137,1.5223139151643081
92,36.5307004358035,7.880634154981783
